source,target,weight
651172,581875,1
302559,629338,1
677375,235438,4
169493,583908,1
692171,681582,1
535455,103742,1
686144,546833,1
673157,502577,1
589361,50406,4
104470,135846,1
576109,545792,1
115878,671532,1
41830,534174,1
692099,179108,1
563023,116028,1
114583,631657,1
76577,299952,1
218337,64311,2
557358,154719,1
578253,149514,1
192344,586847,1
606215,691053,1
691806,175154,1
50710,203598,1
600755,690685,1
7350,171355,1
509597,546809,1
691617,146910,1
185213,503183,1
41794,682396,1
504805,586400,3
556513,524430,2
500517,686874,1
655112,507663,1
1277,504993,1
685890,527744,1
248192,633396,2
61298,522835,1
499266,124892,1
635325,10741,1
192259,229790,1
630965,519547,1
499749,606430,1
244754,524775,1
606230,94524,1
108656,586400,1
525349,630375,1
2968,638213,1
579958,632440,1
669464,143923,1
689497,639525,1
572903,601119,2
120500,522135,1
58621,538779,1
665912,563861,1
238360,670511,1
505332,607549,1
52281,50908,1
44600,606522,1
211814,682009,1
175387,220179,1
654650,583428,1
74014,503395,1
601443,182345,1
683458,684914,23
547922,684813,2
668666,550397,1
150533,508481,5
186514,189476,1
520509,536339,1
582200,6531,1
681644,691121,1
529012,603868,1
691182,583231,1
105454,634711,1
576673,178915,1
53168,668509,1
589021,589970,1
549933,682468,1
499929,587378,1
184943,550403,1
690343,631813,1
549275,230094,1
130437,130437,1
182924,94033,1
20853,679401,1
207980,640002,4
685117,575428,1
182564,87685,1
556204,108860,1
635378,608925,1
201650,518416,1
53773,499204,1
539719,206061,1
607778,678896,1
177297,143035,1
103172,236360,1
76689,67780,1
518647,691182,1
654549,150963,1
692342,122198,2
560107,74763,1
227909,500112,1
690068,119908,1
14868,24658,1
165535,531459,1
190900,225488,1
635350,667504,1
667743,547993,1
87685,169493,1
167455,226524,1
634911,521475,2
64124,499212,1
686148,673838,1
639525,670212,1
204374,79180,1
638533,666961,1
549757,225697,1
567668,674018,1
580948,192698,1
549903,176518,1
562700,505387,1
102731,243404,1
61486,6483,1
172402,97048,1
504377,684611,1
515633,633157,1
667370,629419,1
691182,205367,1
150445,65417,1
166665,499412,1
159126,633296,1
108656,499283,2
222643,554896,1
605458,683359,1
56270,676476,1
509328,83738,1
21871,588511,1
548225,570009,1
546450,225037,1
567477,690831,1
681020,652879,1
499751,690544,1
117560,181589,5
221306,508172,1
94509,201113,1
689680,671401,1
178915,104945,1
189623,248515,1
687969,551403,1
77583,55604,1
672007,574565,1
570934,37249,1
674619,71191,1
1493,679247,1
606522,601807,1
691802,14060,1
636434,185213,1
516173,499402,1
520216,240232,1
514906,679112,1
676452,575036,1
668290,506339,1
41558,632330,1
559501,536899,1
230094,932,2
151863,88583,1
51762,691809,1
508506,63482,1
244154,575663,1
563778,236690,2
605783,606522,1
212180,676272,1
588780,500058,1
575686,37541,1
583231,510498,1
680641,244809,1
531187,25625,1
188754,682667,1
55011,179108,1
558060,243516,1
543248,687488,1
603670,303148,1
638929,74288,1
550762,212428,1
88297,6615,1
634649,500307,2
562425,241238,1
184082,518582,1
670554,30911,1
571073,119779,1
630355,586587,1
604799,633368,1
299952,76577,1
527899,36397,2
167449,199675,1
652600,115990,1
685889,188495,1
504985,227257,1
204199,166736,1
506468,554711,1
499613,196693,1
227704,636623,1
686242,218671,1
607241,652031,1
203265,105718,1
22234,583231,1
678310,84417,1
500886,555871,1
688088,65162,1
244585,565867,1
631466,586124,1
676476,637124,2
667743,214638,1
640040,535369,5
566287,22081,1
116028,670511,1
685426,584344,1
654650,636036,3
228929,560151,1
499764,677004,1
577339,537286,1
583269,580191,1
239063,605108,1
233762,689118,1
689020,500116,1
232992,179467,12
654650,586587,1
676476,227257,1
687170,679990,1
682195,27534,1
509276,690823,1
153665,30980,4
26035,679687,1
543372,244610,1
578772,20847,1
607786,686484,1
674106,39164,1
200203,192014,1
527825,64238,1
521721,37541,1
41002,573454,1
499569,575657,2
511580,633891,1
170029,555173,2
688531,536427,1
124021,688412,1
638781,515156,1
15938,222419,1
208911,549151,1
674619,120014,1
246652,58849,1
502667,679355,1
690645,574074,1
499994,223767,1
606165,687521,1
605993,637137,1
74674,177795,2
81444,526003,1
501871,150198,1
151846,629306,1
248209,555871,1
514557,665882,3
690645,572471,1
678231,575486,1
137129,27301,1
689861,676891,3
74674,244105,1
631478,583371,1
182924,21273,1
175484,686279,1
635544,212502,1
561187,516664,3
120885,562854,1
73473,192955,1
527744,666995,1
106346,668321,1
90394,639567,2
651722,509291,1
210744,666370,1
579846,502183,1
17575,234026,4
678415,192986,1
584522,675862,1
632045,537614,1
568415,537828,1
68955,246521,1
687733,632644,1
586119,499363,1
67023,190891,1
65417,578253,1
500394,512055,1
181296,684841,1
30457,556861,1
635652,686372,1
583231,527187,1
533160,692208,1
689057,164344,1
172325,500317,2
316920,688984,1
121610,558444,1
503323,28759,1
525936,89589,1
16133,60845,1
195869,640550,1
536203,528633,1
521362,576897,1
582200,106004,1
308588,669254,1
507447,546188,1
46062,499431,1
689497,133945,1
501428,667841,2
562019,44980,1
689354,246521,2
509957,105454,2
235455,179467,1
549494,585723,1
690823,522710,1
690843,555173,1
12659,560164,1
54519,64218,1
507190,690843,1
18612,513977,2
587191,220219,1
101042,102881,1
75487,691016,1
499574,106004,1
25937,639731,1
119665,76600,3
